name,pronouns,speakerLink,role,description,talk,image
Brad  McKee,he / him,https://io.google/2022/speakers/brad-mckee/,Software Engineer,"Brad is a software engineer at Google, where he works on the Chrome OS Android runtime. Brad focuses on improving the Chrome OS gaming experience. Prior to joining Google, Brad spent a few decades developing video games in small startups, large publishers, and everything in between. Brad earned a Bachelor of Science in Cybernetics from the University of California, Los Angeles.",Expand your game with Chrome OS,https://io.google/2022/speakers/5fa40214-2ddf-4ed6-9c42-feb5ac0ec478_240.webp
Cameron Balahan,,https://io.google/2022/speakers/cameron-balahan/,Product Manager,"Cameron is a product manager on the Google Cloud Developer Experience team where he leads Google Cloud's programming languages support and integrations. He is also a product lead for Go, Google's open source, cloud native programming language used by millions of developers to build products and services at scale. Prior to Google, Cameron led a high frequency proprietary trading firm focused on market making in the US equities markets. He earned a bachelor's degree in computer science from the University of California at Santa Barbara and a juris doctor from the George Washington University Law School.",Learn to refactor Cloud applications in Go 1.18 with Generics,https://io.google/2022/speakers/a4f942e6-8577-487f-8924-6eec7f81c296_240.webp
Caren Chang,she / her,https://io.google/2022/speakers/caren-chang/,Developer Relations Engineer,"Caren is an engineer on the Android Developer Relations team, with a focus on Accessibility.",What's new in Accessibility for developers,https://io.google/2022/speakers/5134e319-c76b-40c7-a77f-f33b057f5f26_240.webp
Carly Boddy,,https://io.google/2022/speakers/carly-boddy/,Product Manager,"Carly is a product manager for Google Analytics. In her role, Carly is focused on Google Analytics for apps, and both the developer and marketer experience of using Google Analytics. Carly has a background in go-to-market strategy, business development, and digital advertising. Prior to Google, Carly managed global technology partnerships at Microsoft Advertising. Carly is on the SteerCo for Women in Ads at Google, and is passionate about empowering women to advance in their careers.",Meet your business objectives with automation in Google Analytics 4,https://io.google/2022/speakers/de34afbe-e6ab-4618-b250-5a3a88528599_240.webp
Chad Allen,,https://io.google/2022/speakers/chad-allen/,Group Product Manager,"Chad is a product manager on the Wear OS team, where he leads the development of API surfaces on smart watches for health and fitness app developers. He joined Google from Verily (Alphabet’s life sciences company), where he worked on the use of wearables and sensors in clinical trials. He has spent over a decade in healthcare tech, working on a variety of problems from genomics to Electronic Health Record analytics.","Creating beautiful, power-efficient apps for Wear OS",https://io.google/2022/speakers/1d33f0fd-f32e-4462-a38d-dacf5450e8db_240.webp
Chen Huang,,https://io.google/2022/speakers/chen-huang/,"Partner Engineer, Google Assistant","Chen leads partner engineering for Google Assistant on Auto. His team works closely with strategic Google partners to integrate their Android Apps with Google Assistant to create great on-the-go user experiences. Prior to Google, Chen was a software engineer at Walmart eCommerce.",Car talk: Assistant and Android for cars,https://io.google/2022/speakers/d199105d-7912-43ff-9898-2cb358c3f408_240.webp
Cherish Molezion,she / her,https://io.google/2022/speakers/cherish-molezion/,"Senior Strategist, Responsible Innovation","Cherish is a senior strategist on Google's Responsible Innovation team, the central AI Principles operations and governance team that supports cross-Google teams in bringing the AI Principles to life. Her work is anchored to Google's AI Principle #2, to avoid creating or reinforcing unfair bias, thus focused on algorithmic fairness and bias. Prior to joining Responsible Innovation, she worked in a number of domains at Google, including legal trademarks, business operations, and diversity, equity, and inclusion. Cherish also worked in education in France prior to joining Google. She holds a master's in public policy and administration from Northwestern University, and bachelor's in public policy analysis and French studies from Scripps College.",Product fairness testing for developers,https://io.google/2022/speakers/275fcd52-4fd3-4074-965f-3fb4498de34e_240.webp
Chris Wilk,,https://io.google/2022/speakers/chris-wilk/,Product Manager,"Chris is a product manager with a mission to help people live healthier, more active lifestyles. Over the past three years, he has worked across Google Fit, Wear OS, and currently builds app ecosystems. Chris has evolved the digital experience in previous roles for millions of readers of The Guardian, countless travelers booking holidays, and media professionals executing ad campaigns.",Health Connect by Android,https://io.google/2022/speakers/56512572-ae2f-46f6-89c7-1a8b6b2df605_240.webp
Christian Schalk,,https://io.google/2022/speakers/christian-schalk/,Developer Advocate,"Christian works as a developer advocate for Workspace in addition to a broad set of GCP technologies including Serverless, ML/AI, Cloud SQL, and Big Query. Christian also specializes in Workspace APIs and is a recognized leader in low/no-code development with his popular “Building with AppSheet” YouTube video series.",Building AppSheet apps with the new Apps Script connector,https://io.google/2022/speakers/4c22e898-f244-40da-b411-24469f9e3ddb_240.webp
Chuck Jazdzewski,he / him,https://io.google/2022/speakers/chuck-jazdzewski/,Software Engineer,Chuck is a software engineer on the Jetpack Compose team and has over 30 years of industry experience working on user interface frameworks for various platforms.,Common performance gotchas in Jetpack Compose,https://io.google/2022/speakers/695e8783-3012-4af1-b54d-2937322be67b_240.webp
Cody Oss,he / him,https://io.google/2022/speakers/cody-oss/,Developer Relations Engineer,Cody is an engineer who works on the Go Cloud Client Libraries. He works to ensure gophers on Google Cloud have a delightful and idiomatic experience when working with the numerous Cloud platforms and services.,Learn to refactor Cloud applications in Go 1.18 with Generics,https://io.google/2022/speakers/e5b24694-c119-420f-9cab-ec9129559301_240.webp
Craig Labenz,he / him,https://io.google/2022/speakers/craig-labenz/,Developer Relations Engineer,"Craig is a Developer Relations engineer on the Flutter team at Google. He first discovered Flutter while working on a side project and ultimately followed that enthusiasm all the way to Google to work on the team itself. Before Flutter, Craig was a full stack web developer for 12 years, using mostly Python and JavaScript. He loves doing goofy voices, talking about Flutter, making funny faces, and thinking about Flutter. And lots of other stuff, naturally.",Diving into Flutter desktop,https://io.google/2022/speakers/6e6fa645-2bf0-4f6c-8ff5-7186d0559cc8_240.webp
Crystal Huang,she / her,https://io.google/2022/speakers/crystal-huang/,Strategic Partnerships Development Manager,"Crystal joined the Google Assistant Partnerships team in 2018, where she helps partners integrate with Assistant to enable voice and proactive experiences on a variety of devices. Previously, she managed partner operations for Google’s social impact, search, payments, and commerce products for seven years. Crystal is an alumna of Brown University and a native of Mountain View, California, where Google is headquartered.",Google Assistant functionality across Android devices,https://io.google/2022/speakers/ce8f64f6-23b3-4748-95a0-81e4b18ae937_240.webp
Cynthia Shelly,,https://io.google/2022/speakers/cynthia-shelly/,"Lead Program Manager, Chrome & Chrome OS Accessibility","Cynthia leads program and product management for Accessibility on Chrome and Chrome OS, driving accessibility strategy for the browser, operating system and web platform. She has been working on web accessibility since 2000. She is a member of the W3C ARIA working group, and past member of WCAG 2.0 and HTML working groups. Prior to joining Google last year, she worked on web accessibility and accessible developer experience at Microsoft, and ran accessibility for Starbucks mobile apps and website. Along the way, she has been a web development lead, applications development lead for a startup, and a feature pm for Microsoft Office Graphics. Cynthia earned a bachelor's degree in Business Administration from the University of Washington",Debugging accessibility with Chrome DevTools,https://io.google/2022/speakers/d0265043-171e-4cb9-8a81-ef5366c7df93_240.webp
Dale Markowitz,she / her,https://io.google/2022/speakers/dale-markowitz/,Applied AI Engineer,"Dale is an Applied AI engineer at Google Cloud. Previously she worked at Google Research, and before that at the online dating site OkCupid.",Machine learning for developers in a hurry,https://io.google/2022/speakers/6e864022-9e13-4291-b91a-87766a63e95f_240.webp
Dan Chuparkoff,he / him,https://io.google/2022/speakers/dan-chuparkoff/,"Product Lead, Firebase","Dan is a product leader on the Firebase team at Google. Before Google, he was a pioneer in product management since the early 1990s. With more than two decades of work at organizations like Atlassian and within McKinsey & Company's startup incubator. Dan has helped organizations and their developers make the move to the web, become agile, and transition to cloud. Today, Dan helps developers build and run successful performance apps using the Firebase platform.",Optimize app health with Firebase performance monitoring & Crashlytics,https://io.google/2022/speakers/0a900c45-4db1-47e4-adb7-15675498db4c_240.webp
Darryl-Mason Robinson,he / him,https://io.google/2022/speakers/darryl-mason-robinson/,Strategic Program Manager,"Mason is a lead for Google's AI Principles Ethics Fellowship and a strategic program manager for Alphabet-related projects, developing thematic roadmaps for emerging technologies and guiding our various moonshot teams. Mason's previous work experience includes strategy, analytics, and investments, focused on sustainability. Mason is wrapping up his graduate education at Stanford, where he is receiving both a Master of Business Administration and a Master of Science in Environment and Resources. He is passionate about innovation in deep tech, climate tech, and their intersection to improve the human experience and create a sustainable and more equitable world.",Apply responsible AI principles when building remote sensing datasets,https://io.google/2022/speakers/ade189ce-ef96-49db-9cc2-d5ab649164fe_240.webp
David Wiesenfeld,he / him,https://io.google/2022/speakers/david-wiesenfeld/,Product Manager,"David is a product manager at Google for Android vitals. He focuses on creating tools to help app and game developers deliver high-quality experiences to their users. Prior to Google, David worked as a consultant in the implantable medical device field. He has a Bachelor of Science in biomedical engineering from Harvard and a Master of Science in computer science from University College London.",App quality on Google Play: New features and developer success stories,https://io.google/2022/speakers/b3fd27f3-adab-4904-b012-bd476f2f8021_240.webp
Dereck Bridie,he / him,https://io.google/2022/speakers/dereck-bridie/,Developer Relations Engineer,"Dereck is a Developer Relations engineer on Google's Augmented Reality team. He works to improve the app developer's experience with ARCore by writing samples and documentation, and by engaging with the developer community on a technical level. Prior to Google, Dereck earned a master's degree in computer science at Delft University of Technology in the Netherlands.",Build location-based AR experiences at world scale,https://io.google/2022/speakers/fb131299-67e6-4cef-aca4-f9ddf3ba57ac_240.webp
Devin Mullins,he / him,https://io.google/2022/speakers/devin-mullins/,Software Engineer,"Devin leads the integration efforts for signed exchanges, including the Google signed exchange cache, Google Search prefetching, and open source developer tools. He has been a fan of the web ever since he created his first personal web page at age 12 for Netscape 2.0, and has been working on using prefetching to improve web performance since 2015.",Speeding up LCP with cross-site prefetching,https://io.google/2022/speakers/76041a93-a26a-4f1b-996d-a60d7b911e62_240.webp
Diane Wu,she / her,https://io.google/2022/speakers/diane-wu/,"Director of Product Management, Machine Learning Infrastructure","Dr. Diane Wu is the Director of Product for Machine Learning Infrastructure, leading ML Solutions in the Core ML organization. In her role, Diane’s mission is to help developers deliver innovative products both server-side and on-device by making ML tooling easier to use. Prior to joining Google, Diane was co-founder and CEO of Trace Genomics, a recipient of the World Economic Forum Technology Pioneer award. Diane was also part of the inaugural data science team at Palantir Technologies and MetaMind (later acquired by Salesforce). Diane received her doctorate in genetics at age 25 from Stanford University, and holds an undergraduate degree in computer Science and molecular Biology from Simon Fraser University. Diane was on the Forbes 30 Under 30 list in 2017.",AI and machine learning for developers,https://io.google/2022/speakers/545899e5-2baf-49cc-9d66-a94118c47910_240.webp
Diego Zavala,,https://io.google/2022/speakers/diego-zavala/,Product Manager,"Diego is a product manager at Android on the Authentication team, where he leads Android Autofill and Block Store. His mission is to provide seamless and secure third-party authentication experiences on Android. Before Android, Diego worked on security and identity products of Google Cloud Platform. Diego has a Master of Business Administration from Stanford Graduate School of Business.",Android solutions for seamless sign-in across devices,https://io.google/2022/speakers/591a4f4c-d8c7-4b42-b356-f33dbb5ea6ab_240.webp
Dikla Cohen,she / her,https://io.google/2022/speakers/dikla-cohen/,Web Ecosystem Consultant,"As a web ecosystem consultant, Dikla supports some of Google's top partners to achieve exemplary user experience, performance and business growth. She focuses on leveraging cutting edge web technologies and the latest Google Search and Chrome capabilities and tools. Prior to consulting, Dikla spent a decade as a software engineer, both at Google and in various startups.
Dikla has a bachelor's in computer science and is passionate about diversity and inclusion in tech. She has founded and taken part in multiple programs that strive to increase the presence of women and other underrepresented groups in technical roles.",The latest on Google Search for site owners,https://io.google/2022/speakers/ce085f09-f8cf-4239-8d7b-2589a1ccf4d1_240.webp
Dong Chen,,https://io.google/2022/speakers/dong-chen/,Tech Lead of ML Kit,"Dong is the tech lead of ML Kit, responsible for its overall architecture and product development. For the past 16 years, he has been leading several engineering teams across Gmail, Google Maps, and Android Machine Learning. Since launching ML Kit at 2018 Google I/O, he has helped boost its fast growing popularity among mobile developers in the last four years. Dong calls Silicon Valley home and enjoys full-stack development. Originally from Beijing, Dong earned his Bachelor of Engineering in computer science from Tsinghua University and Master of Science in computer science from Purdue University.","Build production-ready apps with Extensions, Functions, and GCP",https://io.google/2022/speakers/4505296d-8889-4eef-9da5-f776a7377da3_240.webp
